OBJECTID,site_name,site_addr,aff_unit,tot_units,zip_code,state_fp,county_fp,tractce,neighborhood,,,
614,3353 26th Street - Small Sites,3353 26TH ST,10,10,94110,6,75,20900,Mission,,,
638,3254 23rd St,3254-3264 23rd St,6,0,,6,75,20900,Mission,,,
641,3225 24th??St,3225 24th St,6,0,,6,75,20900,Mission,,,
32,Alcantara Court,670 Valencia Street,50,50,94103,6,75,20702,Mission,,,
39,Esperanza & Colosimo Apartments (Site A),3590 19th Street,49,50,94110,6,75,20702,Mission,,,
321,Chelsea Park,3620 19TH ST,5,39,94110,6,75,20702,Mission,,,
596,642-646 Guerrero Street,642-646 GUERRERO ST,4,4,94110,6,75,20702,Mission,,,
609,63-67 Lapidge Street,63-67 LAPIDGE ST,6,6,94110,6,75,20702,Mission,,,
512,St. Joseph's Family Shelter,899 GUERRERO ST,0,10,94110,6,75,20701,Mission,,,
24,Monsignor Lyne Community,118 Diamond St,19,20,94114,6,75,20500,Castro/Upper Market,,,
199,2175 Market Street Apartments,2175 Market Street,19,88,94114,6,75,20300,Castro/Upper Market,,,
266,Padre Palou Community,3400 16th Street,18,18,94114,6,75,20300,Castro/Upper Market,,,
356,8 Landers,8 LANDERS ST,1,14,94114,6,75,20300,Castro/Upper Market,,,
516,Richard M. Cohen Residence,220 DOLORES ST,9,10,94114,6,75,20300,Castro/Upper Market,,,
569,214 Dolores,214 DOLORES ST,8,8,94114,6,75,20300,Castro/Upper Market,,,
627,363 NOE,363 Noe St,22,22,94114,6,75,20300,Castro/Upper Market,,,
58,Francis of Assisi Community,145 Guerrero Street,108,110,94103,6,75,20202,Mission,,,
156,Valencia Gardens HOPE VI Development,340 Valencia Street,259,260,94103,6,75,20202,Mission,,,
297,Carlin Senior Apartments,286 VALENCIA ST,4,36,94103,6,75,20202,Mission,,,
328,222 Valencia,222 VALENCIA ST,1,10,94103,6,75,20202,Mission,,,
344,Valencia 270,270-284 VALENCIA ST,3,28,94103,6,75,20202,Mission,,,
426,25-35 Dolores,25-35 DOLORES ST,4,37,94103,6,75,20202,Mission,,,
587,151 Duboce,149-151 DUBOCE AVE,4,4,94103,6,75,20202,Mission,,,
18,Notre Dame Plaza,347 Dolores St,65,66,94110,6,75,20201,Mission,,,
114,Plaza del Sol,440 Valencia Street,59,58,94103,6,75,20201,Mission,,,
130,Apollo Hotel,422 Valencia Street,80,81,94103,6,75,20201,Mission,,,
226,Mission Dolores,1855 15th Street,90,91,94103,6,75,20201,Mission,,,
547,Hazel Betsey,3554 17TH ST,9,9,94110,6,75,20201,Mission,,,
561,Cameo House,424 GUERRERO ST,11,11,94110,6,75,20201,Mission,,,
70,Mission Plaza Apartments,2027 Mission St,132,132,94110,6,75,20102,Mission,,,
101,Maria Alicia,3090 16th Street,20,20,94103,6,75,20102,Mission,,,
121,The Altamont Hotel,3048 16th Street,88,89,94103,6,75,20102,Mission,,,
247,1950 Mission Street,1950 Mission Street,155,157,94103,6,75,20102,Mission,,,
252,490 South Van Ness Ave,490 South Van Ness Ave,80,81,94103,6,75,20102,Mission,,,
